Time, x, y, z,,,,,,,,,,,,,,,,,,,,,
17.90665311,1.379,9.96,-1.685,,,,,,,,,,,,,,,,,,,,,
17.95116419,1.379,9.96,-1.685,,,,,,,,,,,,,,,,,,,,,
17.97634715,1.379,9.96,-1.685,,,,,,,,,,,,,,,,,,,,,
18.03691024,1.379,9.96,-1.685,,,,,,,,,,,,,,,,,,,,,
18.09672207,1.225,10.573,-0.153,,,,,,,,,,,,,,,,,,,,,
18.13974613,1.225,10.573,-0.153,,,,,,,,,,,,,,,,,,,,,
18.21167416,1.225,10.573,-0.153,,,,,,,,,,,,,,,,,,,,,
18.25197715,1.225,10.573,-0.153,,,,,,,,,,,,,,,,,,,,,
18.29109833,1.225,10.573,-0.153,,,,,,,,,,,,,,,,,,,,,
18.34390018,1.225,10.573,-0.153,,,,,,,,,,,,,,,,,,,,,
18.41257617,1.225,10.573,-0.153,,,,,,,,,,,,,,,,,,,,,
18.44428322,1.225,10.573,-0.153,,,,,,,,,,,,,,,,,,,,,
18.50532028,1.225,10.573,-0.153,,,,,,,,,,,,,,,,,,,,,
18.55187318,0.459,9.96,-1.072,,,,,,,,,,,,,,,,,,,,,
18.60512516,0.459,9.96,-1.072,,,,,,,,,,,,,,,,,,,,,
18.65098712,0.459,9.96,-1.072,,,,,,,,,,,,,,,,,,,,,
18.66962716,0.459,9.96,-1.072,,,,,,,,,,,,,,,,,,,,,
18.69461128,0.459,9.96,-1.072,,,,,,,,,,,,,,,,,,,,,
18.72328016,0.459,9.96,-1.072,,,,,,,,,,,,,,,,,,,,,
18.75416514,0.459,9.96,-1.072,,,,,,,,,,,,,,,,,,,,,
18.78946325,0.459,9.96,-1.072,,,,,,,,,,,,,,,,,,,,,
18.8186402,0.459,9.96,-1.072,,,,,,,,,,,,,,,,,,,,,
18.85245726,0.459,9.96,-1.072,,,,,,,,,,,,,,,,,,,,,
18.89042518,0.459,9.96,-1.072,,,,,,,,,,,,,,,,,,,,,
18.90393731,0.459,9.96,-1.072,,,,,,,,,,,,,,,,,,,,,
18.93226931,0.459,9.96,-1.072,,,,,,,,,,,,,,,,,,,,,
18.96294329,0.459,9.96,-1.072,,,,,,,,,,,,,,,,,,,,,
18.99804327,0.459,9.96,-1.072,,,,,,,,,,,,,,,,,,,,,
19.03888914,2.451,9.347,-0.153,,,,,,,,,,,,,,,,,,,,,
19.13260028,2.451,9.347,-0.153,,,,,,,,,,,,,,,,,,,,,
19.15530321,2.451,9.347,-0.153,,,,,,,,,,,,,,,,,,,,,
19.1783261,2.451,9.347,-0.153,,,,,,,,,,,,,,,,,,,,,
19.20517323,2.451,9.347,-0.153,,,,,,,,,,,,,,,,,,,,,
19.24523828,2.451,9.347,-0.153,,,,,,,,,,,,,,,,,,,,,
19.27433416,2.451,9.347,-0.153,,,,,,,,,,,,,,,,,,,,,
19.32298824,2.451,9.347,-0.153,,,,,,,,,,,,,,,,,,,,,
19.36629316,2.451,9.347,-0.153,,,,,,,,,,,,,,,,,,,,,
